spot_id,name,lat,lon,coast_orientation_deg,cluster
saint_malo_01,Saint-Malo - Nord 01,48.68255,-1.999481,330,saint_malo
saint_malo_02,Saint-Malo - Nord-Est 02,48.647208,-2.069003,310,saint_malo
saint_malo_03,Saint-Malo - Est 03,48.658078,-2.002112,340,saint_malo
saint_malo_04,Saint-Malo - Sud-Est 04,48.66654,-1.976759,300,saint_malo
saint_malo_05,Saint-Malo - Sud 05,48.628838,-2.046533,340,saint_malo
saint_malo_06,Saint-Malo - Sud-Ouest 06,48.617614,-2.022275,350,saint_malo
saint_malo_07,Saint-Malo - Ouest 07,48.63645,-2.0397,340,saint_malo
saint_malo_08,Saint-Malo - Nord-Ouest 08,48.659287,-2.037929,320,saint_malo
saint_malo_09,Saint-Malo - Large 09,48.619252,-2.01317,330,saint_malo
saint_malo_10,Saint-Malo - Côtier 10,48.616929,-1.976358,340,saint_malo
cancale_01,Cancale - Nord 01,48.666323,-1.904256,40,cancale
cancale_02,Cancale - Nord-Est 02,48.692828,-1.8479,70,cancale
cancale_03,Cancale - Est 03,48.672374,-1.894954,40,cancale
cancale_04,Cancale - Sud-Est 04,48.681405,-1.854862,60,cancale
cancale_05,Cancale - Sud 05,48.70396,-1.865527,20,cancale
cancale_06,Cancale - Sud-Ouest 06,48.686853,-1.813594,60,cancale
cancale_07,Cancale - Ouest 07,48.648166,-1.879214,50,cancale
cancale_08,Cancale - Nord-Ouest 08,48.703012,-1.875757,40,cancale
cancale_09,Cancale - Large 09,48.66432,-1.88241,50,cancale
cancale_10,Cancale - Côtier 10,48.714082,-1.830053,40,cancale
saint_cast_01,Saint-Cast - Nord 01,48.607986,-2.293127,10,saint_cast
saint_cast_02,Saint-Cast - Nord-Est 02,48.649417,-2.213107,0,saint_cast
saint_cast_03,Saint-Cast - Est 03,48.667417,-2.246437,0,saint_cast
saint_cast_04,Saint-Cast - Sud-Est 04,48.632957,-2.241427,30,saint_cast
saint_cast_05,Saint-Cast - Sud 05,48.651629,-2.217407,350,saint_cast
saint_cast_06,Saint-Cast - Sud-Ouest 06,48.67502,-2.221619,30,saint_cast
saint_cast_07,Saint-Cast - Ouest 07,48.660968,-2.260682,350,saint_cast
saint_cast_08,Saint-Cast - Nord-Ouest 08,48.614762,-2.266673,10,saint_cast
saint_cast_09,Saint-Cast - Large 09,48.651549,-2.280421,20,saint_cast
saint_cast_10,Saint-Cast - Côtier 10,48.62445,-2.269858,10,saint_cast
cap_frehel_01,Cap Fréhel - Nord 01,48.731,-2.309125,10,cap_frehel
cap_frehel_02,Cap Fréhel - Nord-Est 02,48.730079,-2.286107,350,cap_frehel
cap_frehel_03,Cap Fréhel - Est 03,48.696957,-2.350972,20,cap_frehel
cap_frehel_04,Cap Fréhel - Sud-Est 04,48.702754,-2.286182,20,cap_frehel
cap_frehel_05,Cap Fréhel - Sud 05,48.728478,-2.345065,10,cap_frehel
cap_frehel_06,Cap Fréhel - Sud-Ouest 06,48.722261,-2.28032,50,cap_frehel
cap_frehel_07,Cap Fréhel - Ouest 07,48.702386,-2.321669,350,cap_frehel
